"data__propertyLookup__address__slug","data__propertyLookup__address__fullAddress","data__propertyLookup__address__hcAddressId","data__propertyLookup__address__streetAddress","data__propertyLookup__address__unit","data__propertyLookup__address__city","data__propertyLookup__address__state","data__propertyLookup__address__zipcode","data__propertyLookup__address__zipcodePlus4","data__propertyLookup__avm__priceUpper","data__propertyLookup__avm__priceLower","data__propertyLookup__avm__fsd","data__propertyLookup__avm__quality","data__propertyLookup__avm__priceMean","data__propertyLookup__livingSpace__bedrooms__count","data__propertyLookup__livingSpace__bathrooms__summaryCount","data__propertyLookup__rentalAvm__priceMean","data__propertyLookup__rentalAvm__priceUpper","data__propertyLookup__rentalAvm__priceLower","data__propertyLookup__rentalAvm__fsd","data__propertyLookup__rentalAvm__quality","data__propertyLookup__rentalYield","data__propertyLookup__latestAssessment__taxSummary__amount","data__propertyLookup__latestAssessment__taxSummary__year"
"1136-W-59th-St-Chicago-IL-60621","1136 W 59th St Chicago IL 60621",59603905,"1136 W 59th St","","Chicago","IL","60621","1453",179506,96806,0.2992993,"LOW",138156,,,1402,1655,1150,0.1800999,"LOW",0.1218,804.18,2021
"1137-W-59th-St-Chicago-IL-60621","1137 W 59th St Chicago IL 60621",11386062,"1137 W 59th St","","Chicago","IL","60621","1452",,,,,,,,,,,,,,,
"1137-W-61st-St-Chicago-IL-60621","1137 W 61st St Chicago IL 60621",37624291,"1137 W 61st St","","Chicago","IL","60621","1449",,,,,,,,,,,,,,,
"1137-W-Garfield-Blvd-Chicago-IL-60621","1137 W Garfield Blvd Chicago IL 60621",16795568,"1137 W Garfield Blvd","","Chicago","IL","60621","1552",155314,23228,0.7398035,"LOW",89271,,,1647,2132,1163,0.2941712,"LOW",0.2214,2212.02,2021
"1138-W-61st-St-Chicago-IL-60621","1138 W 61st St Chicago IL 60621",53310678,"1138 W 61st St","","Chicago","IL","60621","1457",290461,145339,0.3330014,"LOW",217900,8,3,1932,2464,1402,0.2748447,"LOW",0.1064,1910.39,2021
"1138-W-68th-St-Chicago-IL-60621","1138 W 68th St Chicago IL 60621",180234005,"1138 W 68th St","","Chicago","IL","60621","1144",2165206,322964,0.7404004,"LOW",1244085,,,2079,2796,1363,0.3446368,"LOW",0.0201,13181.3,2021
"1139-W-61st-St-Chicago-IL-60621","1139 W 61st St Chicago IL 60621",11724302,"1139 W 61st St","","Chicago","IL","60621","1449",150885,67409,0.3824017,"LOW",109147,,,1268,1718,820,0.3541009,"LOW",0.1394,,
"1139-W-71st-St-Chicago-IL-60621","1139 W 71st St Chicago IL 60621",65836037,"1139 W 71st St","","Chicago","IL","60621","1048",105898,34980,0.5034001,"LOW",70439,2,1,1497,1773,1221,0.1843687,"LOW",0.255,,2021
"1140-W-61st-St-Chicago-IL-60621","1140 W 61st St Chicago IL 60621",65184097,"1140 W 61st St","","Chicago","IL","60621","1457",,,,,,,,,,,,,,,
"1140-W-68th-St-Chicago-IL-60621","1140 W 68th St Chicago IL 60621",3454812,"1140 W 68th St","","Chicago","IL","60621","1144",,,,,,,,,,,,,,,
